operator_company,well_name_number,api_number,job_type,address,longitude,latitude,date_stimulated,stimulated_formation,top_ft,bottom_ft,stimulation_stages,volume_value,volume_units,treatment_type,acid_percent,lbs_proppant,max_treatment_pressure_psi,max_treatment_rate_bbls_per_min,details
Telephone Number,Kline Federal 5300 41-18 12TX,,Lbs Proppant Mammum Treatmont Pressure(PSり Maxlmum Treatment Rate(BBLSrMIn),Dale,-103.603319,48.068764,2015-10-03,「op(Fl) Botlom(Ft) BH Temp(・ F) CL ppm H2S ppm Shut-ln (PSIG) Shutln 2(PSlG),,,,186133,barrels,,,,,,"Open HolerParOrated TOp Of We‖ Bore TD ＫｉＣｋ新 Complelon intervJ(MD,Ft) Casing Date Perrd 晰 ＳＯ‐ａｔｍ Ｓａｃ We‖ Bore D‖‖ers Depth Type 恥ｉｎｔ Window or D‖|led ｏ‐ａｔｅ Ｍｅｔｈ∞ Ｃｅｍ (MD Fl) Top 8olom 呻 則 (MD Fl) Lalerall Perforatlons 11175 20579 10300 06′09′ 2015 PRODuCT!ON Current PЮ ducing Open Hole or Perforated lnterva(s),ThiS Compietton,Top and Bottom.(MD Ftl Name OFZone(lf Differentfrom Pool Name) Latera1 1・ 11175:to 20579・ Date VVell cOmpieted(SEE INSTRUCT10NS) rroducing Method Pumping-Size & Type of Pump We‖ Status(PrOdudng or Shut‐ ln) September l,2015 flowlno prOducing | Current PЮ ducing Open Hole or Perforated lnterva(s),ThiS Compietton,Top and Bottom.(MD Ftl Name OFZone(lf Differentfrom Pool Name) Latera1 1・ 11175:to 20579・ Date VVell cOmpieted(SEE INSTRUCT10NS) rroducing Method Pumping-Size & Type of Pump We‖ Status(PrOdudng or Shut‐ ln) September l,2015 flowlno prOducing Ⅲ 釧 的 り 円c101蹴¨ mS 鏃総 芳Sted ｏｋｅ Ｓｚｅ 桐リツ陽 ソ ra躙 Oi Crttw艤 51H° Production for Tosl ３８ κ４ Flowing Tubing Pressure(Ps:) ]面 ng C“ hl蹴 sWe e鋤 12紹 縄 e Ff料 Ｇ “ water(Bus)lcas‐0‖ Rati9 ８７７ 3644 778 | Flowing Tubing Pressure(Ps:) ]面 ng C“ hl蹴 sWe e鋤 12紹 縄 e Ff料 Ｇ “ water(Bus)lcas‐0‖ Rati9 ８７７ 3644 778 :」 | Oate Slmulated Sli"
Oasis Rig: Patterson 488,Wade Federal 5300 41-30 9B,33-053-06051,IAcid % I Lbs Proppant I Maximum Treatment Pressure (PSI) I Maximum Treatment Rate (BBLS/Min),City State Zip Code,,,2014-12-08,2.1.2 Gamma and Surveys,,.,,171968,barrels,,,,5000,3109,"system uses an infra-red detector to measure total gas and the chromatograph separates and measures gases C1, C2, C3, iC4 and nC4. Gas was recorded in units where 1 unit equals 100 ppm. The gas detection system measured gases: C1, C2, C3, IC4, NC4, H2S, O2 and CO . 2 | units, and saturated cuttings with oil, making all cuttings in the vertical show the same | Open Hole/Perforated Top of Well Bore TD Kick-off Completion Interval (MD,Ft) Casing Date Perfd Date Isolation Sacks Well Bore Drillers Depth Point Type Window or Drilled Isolated Method Cement (MD Ft) (MD Ft) Top Bottom (MD Ft) Lateral1 20650 Perforations 11552 20265 10200 I PRODUCTION Current Producing Open Hole or Perforated lnterval(s), This Completion, Top and Bottom, (MD Ft) Name of Zone (If Different from Pool Name) Lateral 1- 11552' to 20625' Date Well Completed (SEE INSTRUCTIONS) Producing Method Pumping-Size & Type of Pump IWell Status (Producing or Shut-In) June 13, 2015 Flowing Producing | Current Producing Open Hole or Perforated lnterval(s), This Completion, Top and Bottom, (MD Ft) Name of Zone (If Different from Pool Name) Lateral 1- 11552' to 20625' Date Well Completed (SEE INSTRUCTIONS) Producing Method Pumpin"
Telephone Number,Kline Federal 5300 31-18 8B,,!Acid% I Lbs Proppant I Maximum Treatment Pressure (PSI) Maximum Treatment Rate (BBLS/Min),City Zip Code,,,2015-08-31,MD(Ft) TVD(Ft) Well Bore Type of Plug Top(Ft) Bottom (Ft) Sacks Cemen,,,7,011,bbls,,,,11220,,"Open Hole/Perforated Top of Well Bore TD Kick-off Completion Interval (MD,Ft) Casing Date Perfd Date Isolation Sacks Well Bore Drillers Depth Point Type Window or Drilled Isolated Method Cement (MD Ft) (MD Ft) Top Bottom (MD Ft) Lateral1 20395 Perforations 10160 .. PRODUCTION I Current Producing Open Hole or Perforated lnterval(s), This Completion, Top arid Bottom, (MD Ft) Name of Zone (If Different from Pool Name) Lateral 1- Date Well Completed (SEE INSTRUCTIONS) Producing Method Pumping-Size & Type of Pump 'Well Status (Producing or Shut-In) Date ofTest 'Hours Tested Choke Size Oil (Bbls) 'Gas (MCF) 'Water (Bbls) 'Oil Gravity-AP! (Co:r.) 'Disposition of Gas | Current Producing Open Hole or Perforated lnterval(s), This Completion, Top arid Bottom, (MD Ft) Name of Zone (If Different from Pool Name) Lateral 1- Date Well Completed (SEE INSTRUCTIONS) Producing Method Pumping-Size & Type of Pump 'Well Status (Producing or Shut-In) Date ofTest 'Hours Tested Choke Size Oil (Bbls) 'Gas (MCF) 'Water (Bbls) 'Oil Gravity-AP! (Co:r.) 'Disposition of Gas Production for Test /64 Flowing Tubing Pressure (PSI) Flowing Casing Pressure (PSI) Calculated 'Oil (Bbls) 'Gas (MCF) 'Water (Bbls) 'Gas-Oil "
Telephone Number,KLINE FEDERAL 5300 31-18 7T LOT3,,1Acid% I Lbs Proppant I Maximum Treatment Pressure (PSI) Maximum Treatment Rate (BBLS/Min),City Zip Code,,,2015-07-12,MD(Ft) TYO (Ft) ·. Well Bore Type of Plug Top (Ft) Bottom (Ft) Sacks Cemenl,,,7,10330,barrels,,,,11220,1774,"Open Hole/Perforated Top of Well Bore TD Kick-off Completion Interval (MD.Ft) Casing Date Perfd Date Isolation Sacks Well Bore Drillers Depth Point Type . · Window or Drilled Isolated Method Cement (MD Ft) (MD Ft) Top Bottom (MD Ft) Lateral1 20561 Perforations 11068 20551 10250 07/12/2015 ,. PRODUCTION Current Producing Open Hole or Perforated lnterval(s), This Completion, Top and Bottom, (MD Ft) I Name of Zone (If Different from Pool Name) Lateral 1- 11068' to 20551' Date Well Completed (SEE INSTRUCTIONS) Producing Method Pumping-Size & Type of Pump IWell Status (Producing or Shut-In) September 17, 2015 flowing producing | Current Producing Open Hole or Perforated lnterval(s), This Completion, Top and Bottom, (MD Ft) I Name of Zone (If Different from Pool Name) Lateral 1- 11068' to 20551' Date Well Completed (SEE INSTRUCTIONS) Producing Method Pumping-Size & Type of Pump IWell Status (Producing or Shut-In) September 17, 2015 flowing producing Date ofTest I Hours Tested Choke Size Oil (Bbls) · I Gas (MCF) 1water (Bbls) I Oil Gravity-AP! (Corr.) I Disposition of Gas Production for Test ° 09/17/2015 24 32 /64 1774 1150 5837 42.0 Sold Flowing Tubing Pressure (PSI) Flowing Casing Press"
Telephone Number,Kline Federal 5300 31-18 6B,33-053-06057,IAcid % I Lbs Proppant I Maximum Treatment Pressure (PSI) I Maximum Treatment Rate (BBLS/Min),lState,,,2017-01-19,MD (Ft) TVD (Ft) Well Bore Type of Plug Top (Ft) Bottom (Ft) Sacks Cemen1,,,7,220489,barrels,,,,11220,5300,"Report of Work Done Date Work Completed Casing or Liner Acidizing Janua 19,2017 D Plug Well D Fracture Treatment D D 0 Notice of Intent to Begin a Workover Project that may Qualify Supplemental History Change Production Method I for a Tax Exemption Pursuant to NDCC Section 57-51.1-03. D D Temporarily Abandon Reclamation Approximate Start Date D Other Well is now on pump Well Name and Number 24-HOUR PRODUCTION RATE Kline Federal 5300 31-18 6B Before After Footages 'Qtr-Qtr 'Section 'Township 'Range Oil Bbls Oil Bbls s w | D Plug Well D Fracture Treatment D D 0 Notice of Intent to Begin a Workover Project that may Qualify Supplemental History Change Production Method I for a Tax Exemption Pursuant to NDCC Section 57-51.1-03. D D Temporarily Abandon Reclamation Approximate Start Date D Other Well is now on pump Well Name and Number 24-HOUR PRODUCTION RATE Kline Federal 5300 31-18 6B Before After Footages 'Qtr-Qtr 'Section 'Township 'Range Oil Bbls Oil Bbls s w 2457 F L · 238 F W L LOT3 18 153 N 100 Water Bbls Water Bbls Field Gas MCF Gas MCF | Well Name and Number 24-HOUR PRODUCTION RATE Kline Federal 5300 31-18 6B Before After Footages 'Qtr-Qtr 'Section 'Township 'Range Oil Bbls Oil "
Telephone Number,Wade Federal 5300 21-30 12T,,!Acid% Lbs Proppant Maximum Treatment Pressure (PSI) I Maximum Treatment Rate (BBLS/Min),State,,,2015-07-26,MD (Ft) TVD(Ft) Well Bore Type of Plug Top (Ft) Bottom (Ft) Sacks Cement,,,,190732,barrels,,,,11220,5300,"Report of Work Done Date Work Completed Casing or Liner Acidizing Jul 26,2015 D Plug Well D Fracture Treatment D D 0 Notice of Intent to Begin a Workover Project that may Qualify Supplemental History Change Production Method for a Tax Exemption Pursuant to NDCC Section 57-51.1-03. D D Temporarily Abandon Reclamation I Approximate Start Date D Other Well is now on pump Well Name and Number 24-HOUR PRODUCTION RATE Wade Federal 5300 21-30 12T Before After Footages 'Qtr-Qtr 'Section rownship 'Range Oil BQls Oil Bbls w | D Plug Well D Fracture Treatment D D 0 Notice of Intent to Begin a Workover Project that may Qualify Supplemental History Change Production Method for a Tax Exemption Pursuant to NDCC Section 57-51.1-03. D D Temporarily Abandon Reclamation I Approximate Start Date D Other Well is now on pump Well Name and Number 24-HOUR PRODUCTION RATE Wade Federal 5300 21-30 12T Before After Footages 'Qtr-Qtr 'Section rownship 'Range Oil BQls Oil Bbls w 1640 F N L 270 F W I L · LOT2 30 I1 53 N 100 Water Bbls Water Bbls Field Gas MCF Gas MCF | Well Name and Number 24-HOUR PRODUCTION RATE Wade Federal 5300 21-30 12T Before After Footages 'Qtr-Qtr 'Section rownship 'Range Oil BQls Oil Bbl"
,WADE FEDERAL 5300 21-30 13B 100,,,同,,,2015-04-22,Top(Fl) Bol(om(Ftl BH Temp {'F) CL ppm H2S ppm Shu←in i(PSIC) Shutln 2(PS:G),,,,15000,bbls,,7,7,7,7,"Current Produc ng Open Hoに or Peめrated lnlerval● )ThiS COmplelon.Top and Bollom.(MD Fll of Zone (lf Dlfferenl from Pool Name) Latera1 1‐ 11000'to 20535' of Test 2015 05′01′ | Date Sumulated Stimulsled Formatlon Top(Ft) Bonom(Fり Stimulat on Stages Ⅷ ¨ Volume unts 03716/2015 Bak*en 11000 20535 50 ‐８“ Barrel● Type TreatmeⅢ Acid% Lbs Proppant Maximum Treatment Pressure (PSl) Maxlmum Tleatment Rate(BBLS7Min) Sand Frac 6583071 90,(0 400 Deta""s 40770 VVhite:9005101b8 20740 White:46008201b3 20740 CRC:9827`01b● Date Sumulated Stimulaled Formation rop(Fo B● Stimulaton Stages Volume Vo ume unns ""om(Fl) Type Treatmenl Add% Lbs PmpDaot luaxlmum Treatment Pressure (PSl) Marimum Treatmenl Rale (BBLS/Min) Deta s Date St mulated StimUated Formatlon Top (Ft) Bouom(Fり Stlmulatlon Stages Volume ヽ′olurle units Add% type Troatmenl Lbs Proppanl Maximum Treatment P.essu.e (PSl) Maximum Tr6atmenl Rate (BBLs,/Mln) | Type TreatmeⅢ Acid% Lbs Proppant Maximum Treatment Pressure (PSl) Maxlmum Tleatment Rate(BBLS7Min) Sand Frac 6583071 90,(0 400 Deta""s 40770 VVhite:9005101b8 20740 White:46008201b3 20740 CRC:9827`01b● Date Sumulated Stimulaled Formation rop(Fo B● Stimulaton Stages Volume Vo ume unns ""om(Fl) Type "
Telephone Number,Kline Federal 5300 11-18 5B,,1Acid% Lbs Proppant Maximum Treatment Pressure (PSI) 'Maximum Treatment Rate (BBLS/Min),,2.0,,2015-07-16,MD (Ft) TVD(Ft) Weil Bore Type of Plug Top (Ft) Bottom (Ft) Sacks Cement,.,,,209044,barrels,,,,11220,998,"Open Hole/Perforated Top of Well Bore TD Kick-off Completion Interval (MD.Ft) Casing Date Perfd Date Isolation Sacks Well Bore Drillers Depth Point Type Window or Drilled Isolated Method Cement (MD Ft) (MD Ft) Top Bottom (MD Ft) Lateral1 20896 Perforations 11083 20891 10200 07/16/2015 PRODUCTION Current Producing Open Hole or Perforated lnterval(s), This Completion, Top and Bottom, (MD Ft) I Name of Zone (If Different from Pool Name) Lateral 1- 11083' to 20891' Date Well Completed (SEE INSTRUCTIONS) Producing Method Pumping-Size & Type of Pump !Well Status (Producing or Shut-In) August 25, 2015 Flowing Producing Date ofTest I Hours Tested Choke Size Oil (Bbls) I Gas (MCF) IWater (Bbls) I Oil Gravity-AP! (Corr.) I Disposition of Gas | Current Producing Open Hole or Perforated lnterval(s), This Completion, Top and Bottom, (MD Ft) I Name of Zone (If Different from Pool Name) Lateral 1- 11083' to 20891' Date Well Completed (SEE INSTRUCTIONS) Producing Method Pumping-Size & Type of Pump !Well Status (Producing or Shut-In) August 25, 2015 Flowing Producing Date ofTest I Hours Tested Choke Size Oil (Bbls) I Gas (MCF) IWater (Bbls) I Oil Gravity-AP! (Corr.) I Disposition of Gas Production "
Telephone Number,Kline Federal 5300 11-18 3T,,IAcid % I Lbs Proppant I Maximum Treatment Pressure (PSI) I Maximum Treatment Rate (BBLS/Min),,,,2015-08-29,MD(Ft) TVD (Ft) Well Bore Type of Plug Top (Ft) Bottom (Ft) Sacks Cement,,,,208220,barrels,,,,11220,465,"Open Hole/Perforated Top of Well Bore TD Kick-off Completion Interval (MD.Ft) Casing Date Perfd Date Isolation Sacks Well Bore Drillers Depth Point Type Window or Drilled Isolated Method Cement (MD Ft) (MD Ft) Top Bottom (MD Ft) Lateral1 20840 Perforations 11101 20835 10280 07117/2015 PRODUCTION Current Producing Open Hole or Perforated lnterval(s), This Completion, Top and Bottom, (MD Ft) 'Name of Zone (If Different from Pool Name) Lateral 1- 11101' to 20835' Date Well Completed (SEE INSTRUCTIONS) Producing Method Pumping-Size & Type of Pump 'Well Status (Producing or Shut-In) August 29, 2015 Flowing Producing Date of Test 'Hours Tested Choke Size Oil (Bbls) 'Gas (MCF) 'Water ~bis) 'Oil Gravity-AP! (Corr.) 'Disposition of Gas | Current Producing Open Hole or Perforated lnterval(s), This Completion, Top and Bottom, (MD Ft) 'Name of Zone (If Different from Pool Name) Lateral 1- 11101' to 20835' Date Well Completed (SEE INSTRUCTIONS) Producing Method Pumping-Size & Type of Pump 'Well Status (Producing or Shut-In) August 29, 2015 Flowing Producing Date of Test 'Hours Tested Choke Size Oil (Bbls) 'Gas (MCF) 'Water ~bis) 'Oil Gravity-AP! (Corr.) 'Disposition of Gas Production for Test 0"
Telephone Number,Gramma Federal 5300 41-3112B,,IAcid % Lbs Proppant I Maximum Treatment Pressure (PSI) I Maximum Treatment Rate (BBLS/Min),State,,,2015-08-20,MD (Ft) TVD(Ft) Well Bore Type of Plug Top (Ft) Bottom (Ft) Sacks Cement,,,,168692,barrels,,,,11220,5300,"Report of Work Done Date Work Completed Casing or Liner Acidizing Au ust 20, 2015 D Plug Well D Fracture Treatment D D 0 Notice of Intent to Begin a Workover Project that may Qualify Supplemental History Change Production Method for a Tax Exemption PursuaIn t to NDCC Section 57-51.1-03. D D Temporarily Abandon Reclamation Approximate Start Date D Other Well is now on pump Well Name and Number 24-HOUR PRODUCTION RATE Gramma Federal 5300 41-3112B Before After Footages IQtr-Qtr I Section rownship I Range Oil Bbls Oil Bbls 647 F s L 320 F w L LOT4 . 31 153 N . 100 w . Water Bbls Water Bbls | D Plug Well D Fracture Treatment D D 0 Notice of Intent to Begin a Workover Project that may Qualify Supplemental History Change Production Method for a Tax Exemption PursuaIn t to NDCC Section 57-51.1-03. D D Temporarily Abandon Reclamation Approximate Start Date D Other Well is now on pump Well Name and Number 24-HOUR PRODUCTION RATE Gramma Federal 5300 41-3112B Before After Footages IQtr-Qtr I Section rownship I Range Oil Bbls Oil Bbls 647 F s L 320 F w L LOT4 . 31 153 N . 100 w . Water Bbls Water Bbls Field Gas . MCF Gas MCF I Pool I County | Well Name and Number 24-HOUR PRODUCTION RATE Gramma "
Telephone Number,Gramma Federal 5300 41-31 13T,,I Acid% ILbs Proppant I Maximum Treatment Pressure (PSI) I Maximum Treatment Rate (BBLS/Min),City State Zip Code,,,2015-06-26,MD(Ft) TVD(Ft) Well Bore Type of Plug Top (Ft) Bottom (Ft) Sacks Cemen1,,,,170334,barrels,,,,.,1358,"Open Hole/Perforated Top of Well Bore TD Kick-off Completion Interval (MD,Ft) Casing Date Perfd Date Isolation Sacks Well Bore Drillers Depth Point Type Window or Drilled Isolated Method Cement (MD Ft) (MD Ft) Top Bottom (MD Ft) Lateral1 20550 Perforations 11228 20545 10331 06/26/2015 PRODUCTION Current Producing Open Hole or Perforated lnterval(s), This Completion, ·Top and Bottom, (MD Ft) I Name of Zone (If Different from Pool Name) Lateral 1- 11228' TO 20545' Date Well Completed (SEE INSTRUCTIONS) Producing Method Pumping-Size & Type of Pump !Well Status (Producing or Shut-In) July 5, 2015 Flowing Producing Date of Test I Hours Tested Choke Size Oil (Bbls) I Gas (MCF) IWater (Bbls) I Oil Gravity-AP! (Corr.) I Disposition of Gas | Current Producing Open Hole or Perforated lnterval(s), This Completion, ·Top and Bottom, (MD Ft) I Name of Zone (If Different from Pool Name) Lateral 1- 11228' TO 20545' Date Well Completed (SEE INSTRUCTIONS) Producing Method Pumping-Size & Type of Pump !Well Status (Producing or Shut-In) July 5, 2015 Flowing Producing Date of Test I Hours Tested Choke Size Oil (Bbls) I Gas (MCF) IWater (Bbls) I Oil Gravity-AP! (Corr.) I Disposition of Gas Production fo"
Telephone Number,Kline Federal 5300 11-18 2B,,1Acid% I Lbs Proppant I Maximum Treatment Pressure (PSI) I Maximum Treatment Rate (BBLS/Min),I State,,,2015-12-11,MD(Ft) TVD(Ft) Well Bore Type of Plug Top (Ft) Bottom (Ft) Sacks Cement,,,,209640,barrels,,,,11220,5300,"Report of Work Done Date Work Completed Casing or Liner Acidizing December 11, 2015 D Plug Well D Fracture Treatment D D 0 Notice of Intent to Begin a Workover Project that may Qualify Supplemental History Change Production Method for a Tax Exemption PursuaIn t to NDCC Section 57-51.1-03. D D Temporarily Abandon Reclamation Approximate Start Date D Other Well is now on pump Well Name and Number 24-HOUR PRODUCTION RATE Kline Federal 5300 11-18 2B Before After Footages IQtr-Qtr ISect~o~ !Township range Oil Bbls Oil Bbls w | D Plug Well D Fracture Treatment D D 0 Notice of Intent to Begin a Workover Project that may Qualify Supplemental History Change Production Method for a Tax Exemption PursuaIn t to NDCC Section 57-51.1-03. D D Temporarily Abandon Reclamation Approximate Start Date D Other Well is now on pump Well Name and Number 24-HOUR PRODUCTION RATE Kline Federal 5300 11-18 2B Before After Footages IQtr-Qtr ISect~o~ !Township range Oil Bbls Oil Bbls w 960 F N L 318 F W I L Lot 1 153 N 100 Water Bbls Water Bbls Field Pool I County Gas MCF Gas MCF | Well Name and Number 24-HOUR PRODUCTION RATE Kline Federal 5300 11-18 2B Before After Footages IQtr-Qtr ISect~o~ !Township range Oil"
Oasis Petroleum,313B,33-053-06548,Lbs Proppant Maximum Treatment Pressure(PSり Maximum Treatment Rate(BBLS/Min),'001,103.602608,48.035810,2018-11-05,MD(Fl) TVD(Fl) 1/Ve‖ Bore Tvpe of Plug Top(Fl) Bottom(Ft) Sacks Cemeni,,,,329963,barrels,,,,0,,"Depth Inclination Azimuth Depth +N/-S +E/-W Section Rate Rate Rate (ft) (°) (°) (ft) (ft) (ft) (ft) (°/100ft) (°/100ft) (°/100ft) 0.00 0.00 0.000 0.00 0.00 0.00 0.00 0.00 0.00 0.00 168.00 0.54 304.140 168.00 0.44 -0.66 -0.66 0.32 0.32 0.00 First SDI MWD Survey 261.00 0.29 4.550 261.00 0.92 -1.00 -1.00 0.51 -0.27 64.96 355.00 0.61 316.070 354.99 1.52 -1.33 -1.33 0.50 0.34 -51.57 447.00 0.80 325.270 446.99 2.40 -2.03 -2.03 0.24 0.21 10.00 537.00 0.85 323.540 536.98 3.46 -2.79 -2.79 0.06 0.06 -1.92 626.00 0.24 338.370 625.97 4.16 -3.25 -3.25 0.70 -0.69 16.66 1/22/2019 8:12:53AM Page 2 COMPASS 5000.1 Build 78 | Depth Inclination Azimuth Depth +N/-S +E/-W Section Rate Rate Rate (ft) (°) (°) (ft) (ft) (ft) (ft) (°/100ft) (°/100ft) (°/100ft) 725.00 0.62 348.620 724.97 4.88 -3.43 -3.43 0.39 0.38 10.35 815.00 0.79 346.470 814.96 5.96 -3.67 -3.67 0.19 0.19 -2.39 905.00 0.81 323.760 904.95 7.08 -4.19 -4.19 0.35 0.02 -25.23 996.00 0.96 344.770 995.94 8.33 -4.77 -4.77 0.39 0.16 23.09 1,086.00 0.84 322.190 1,085.93 9.58 -5.38 -5.38 0.41 -0.13 -25.09 1,176.00 0.07 75.770 1,175.93 10.11 -5.73 -5.73 0.97 -0.86 126.20 1,266.00 0.67 154.080 1,265.93 9.65 -5.44 -5.44 0.73 0.67 87.01 1,357.00 0.70 123."
Te!ephone Number,Lewis Federal 5300 11-31 28,,Acid% Lbs Proppant Maximum Treatment Pressure (PSl) Maximum Treatment Rate(B8LS′Min),Ｐｏ。ｌ,,,2018-11-05,MD(Ft) TVD(Ft) Wel Bore TvDe of Pluq Top(Ft) Bottom(Ft) Sacks Cemenj,,,,305814,barrels,,8,8,631,8,"We‖ Bore TD Open HoleノPerforated ＫｉＣｋ新 Top of We‖ Bore D""‖ers Depth Com T p y l p e e lon !nteⅣa!(MD,Ft) Ｐ。 ｉｎｔ W C i a n si d n o g w Da or t e D 口 Pe |: r e F d d Ｄ ０‐ ａ ａ ｔ ｔ ｅ ｅ Ｓ Ｍ 。 ｅ ‐ ｔ ａ ｈ ‐ｔｏ “ ｎ Ｃ Ｓ ｅ ａ ｍ ｃｋ ｅ ｓ ｎ (MD Ft) Top Bottom ｍ 励 (MD Ft) Laterall 20870 Perforations 11160 20807 06′20ノ 2019 PRODuCT10N Current Producing Open Ho!e or Perforated!nterval(S),ThiS COmplelon,Top and Bottom,(MD Fo Name of Zone (lf Different from Pool Name) Latera1 1‐ 11160・ to 20807' Date We‖ Completed(SEE INSTRUCT10NS) Droducing Method Pumping-Size & Type of Pump A/ell Status (Producing or Shut-ln) producinq August 2,2019 flowing 嶋 り Date of Test Hours Tested Choke Size ０ 跡 Gas(MCF) Ч甜 Oil Gravity― API(Corr) DispOsitiOn of Gas 08ノ 05r2019 24 18 ノ 64 Production for Test ５４８ 764 山 Sold Flowing Tubing Pressure (PSl) FlowlngCaml;Pに lPSll(cid:631)12屈 お ) lPD Fas_釧 ]鵠 | Current Producing Open Ho!e or Perforated!nterval(S),ThiS COmplelon,Top and Bottom,(MD Fo Name of Zone (lf Different from Pool Name) Latera1 1‐ 11160・ to 20807' Date We‖ Completed(SEE INSTRUCT10NS) Droducing Method Pumping-Size & Type of Pump A/ell Status (Producing or Shut-ln) producinq August 2,2019 flowing 嶋 り Date of Test Hou"
Telephone Number,KLINE FEDERAL 5300 31-18 15T LOT3 Mckenzie,33-053-06755,,City State Zip Code,,,2015-03-07,fluids have very low corrosion and erosion rates;,50,,7,540,bbls,,,,11220,5300,Report of Work Done Date Work Completed Casing or Liner Acidizing D D Plug Well Fracture Treatment D D D Notice of Intent to Begin a Workover Project that may Qualify Supplemental History Change Production Method I for a Tax Exemption Pursuant to NDCC Section 57-51.1-03. D D Temporarily Abandon Reclamation Approximate Start Date D Other Waiver from tubing/packer requirement Well Name and Number 24-HOUR PRODUCTION RATE Kline Federal 5300 31-18 15T Before After | Plug Well Fracture Treatment D D D Notice of Intent to Begin a Workover Project that may Qualify Supplemental History Change Production Method I for a Tax Exemption Pursuant to NDCC Section 57-51.1-03. D D Temporarily Abandon Reclamation Approximate Start Date D Other Waiver from tubing/packer requirement Well Name and Number 24-HOUR PRODUCTION RATE Kline Federal 5300 31-18 15T Before After Footages IQtr-Qtr . !Section !Township . I Range Oil Bbls Oil Bbls s w | Well Name and Number 24-HOUR PRODUCTION RATE Kline Federal 5300 31-18 15T Before After Footages IQtr-Qtr . !Section !Township . I Range Oil Bbls Oil Bbls s w 2556 F L 238 F W L LOT 3 18 153 N 100 Water Bbls Water Bbls Field Gas MCF Gas MCF rool· 'County Baker Bakken 
Oasis Petroleum,Lewis Federal 530011-31 4BR,33-053-08946,Acid% Lbs Proppant l\4aximum Treatment Pressure (PSl) Max mum Treatment Rate(BBLS′Min),City State Zip Code,,,2019-01-30,Dakota 5036 5021,,,,100,bbls,,4,4,1,,"Depth Inclination Azimuth Depth +N/-S +E/-W Section Rate Rate Rate (ft) (°) (°) (ft) (ft) (ft) (ft) (°/100ft) (°/100ft) (°/100ft) 0.00 0.00 0.000 0.00 0.00 0.00 0.00 0.00 0.00 0.00 288.00 0.90 188.060 287.99 -2.24 -0.32 -0.32 0.31 0.31 0.00 First SDI MWD Survey 349.00 1.64 200.830 348.97 -3.53 -0.69 -0.69 1.29 1.21 20.93 411.00 1.69 197.440 410.95 -5.23 -1.28 -1.28 0.18 0.08 -5.47 445.00 1.91 202.750 444.93 -6.23 -1.65 -1.65 0.81 0.65 15.62 536.00 1.92 196.610 535.88 -9.09 -2.68 -2.68 0.23 0.01 -6.75 627.00 1.92 199.630 626.83 -11.99 -3.62 -3.62 0.11 0.00 3.32 717.00 1.77 198.590 716.78 -14.73 -4.57 -4.57 0.17 -0.17 -1.16 3/14/2019 11:34:12AM Page 2 COMPASS 5000.1 Build 78 | Depth Inclination Azimuth Depth +N/-S +E/-W Section Rate Rate Rate (ft) (°) (°) (ft) (ft) (ft) (ft) (°/100ft) (°/100ft) (°/100ft) 807.00 1.11 176.790 806.75 -16.91 -4.97 -4.97 0.94 -0.73 -24.22 898.00 0.89 166.310 897.74 -18.48 -4.75 -4.75 0.31 -0.24 -11.52 988.00 1.33 186.270 987.72 -20.20 -4.70 -4.70 0.64 0.49 22.18 1,078.00 1.73 204.520 1,077.69 -22.47 -5.38 -5.38 0.70 0.44 20.28 1,169.00 1.10 199.130 1,168.66 -24.55 -6.23 -6.23 0.71 -0.69 -5.92 1,260.00 0.57 168.630 1,259.65 -25.82 -6.43 -6.43 0.74 -0.58 -3"
Telephone Number,BUCK SHOT SWD 5300 31-31,33-053-90244,tcido/o Lbs Proppant Maximum Treatment Pressure (PSI) !Maximum Treatment Rate (BBLS/Min),on the reverse D Addressee,103.35,48.02,2013-07-20,MD(Ft) TVD(Ft) Well Bore Type of Plug Top (Ft) Bottom (Fl) Sacks Cement,,,,5,,,100,,100,2,"injection issued September 5, 2012 requires this offsite high pressure injection pipeline be mechanical integrity tested on an annual basis. The required pipeline pressure test procedure is as follows: 1) Injection pipeline pressure test must be witnessed by an NDIC Field Inspector. Contact the appropriate NDIC Field Inspector to schedule the test. 2) The entire duration of the pressure test must be recorded on a chart recorder. 3) Pressure line to 100 psi. above the permitted maximum injection pressure and test for 30 minutes. Be sure to note the starting and ending pressures. 4) Depending on the results as determined by the NDIC: a. It may be necessary to shut in the pressurized line for 24 hours to stabilize temperature of test fluid and allow any air or gases to accumulate in order to be purged. b. Following the 24 hour shut-in period, re-pressurize line and document the amount of fluid needed to return pressure to l 00 psi. above the permitted maximum injection pressure. c. Pressure Test line for 30 minutes. 5) Submit to the NDIC a Form 4 Sundry Notice detailing the test results (e.g. date of test, starting | integrity tested on an annual basis. The required pipeline pressure "
